iter	Passed	Remaining
0	48	73153
1	90	68052
2	130	65032
3	172	64596
4	216	64677
5	260	64879
6	300	64025
7	339	63250
8	378	62734
9	416	62091
10	459	62228
11	503	62397
12	548	62777
13	593	62993
14	634	62795
15	674	62533
16	715	62399
17	755	62161
18	795	61969
19	834	61770
20	875	61653
21	914	61433
22	954	61315
23	995	61246
24	1035	61116
25	1078	61121
26	1121	61176
27	1162	61114
28	1200	60912
29	1240	60762
30	1279	60650
31	1319	60524
32	1358	60411
33	1400	60383
34	1445	60516
35	1488	60537
36	1529	60469
37	1572	60511
38	1615	60506
39	1656	60446
40	1695	60339
41	1734	60203
42	1774	60140
43	1814	60029
44	1854	59964
45	1892	59834
46	1931	59722
47	1970	59613
48	2009	59505
49	2050	59467
50	2091	59432
51	2131	59351
52	2171	59277
53	2210	59197
54	2250	59130
55	2290	59056
56	2330	58987
57	2369	58921
58	2408	58835
59	2451	58840
60	2495	58876
61	2537	58854
62	2577	58790
63	2616	58709
64	2655	58618
65	2696	58593
66	2736	58525
67	2778	58512
68	2822	58536
69	2861	58459
70	2901	58390
71	2940	58321
72	2982	58294
73	3021	58225
74	3059	58127
75	3098	58057
76	3141	58048
77	3183	58035
78	3226	58038
79	3267	57999
80	3306	57930
81	3346	57872
82	3384	57775
83	3426	57752
84	3465	57697
85	3505	57632
86	3546	57594
87	3585	57526
88	3625	57482
89	3665	57426
90	3706	57386
91	3745	57324
92	3785	57264
93	3825	57220
94	3863	57142
95	3902	57071
96	3940	56996
97	3979	56929
98	4019	56880
99	4058	56813
100	4096	56745
101	4139	56739
102	4181	56720
103	4223	56688
104	4264	56656
105	4304	56602
106	4343	56542
107	4383	56497
108	4422	56434
109	4462	56392
110	4503	56355
111	4542	56297
112	4581	56239
113	4621	56181
114	4662	56147
115	4701	56095
116	4741	56045
117	4780	55993
118	4825	55997
119	4867	55977
120	4911	55970
121	4950	55915
122	4990	55864
123	5029	55809
124	5068	55752
125	5108	55702
126	5146	55639
127	5186	55593
128	5226	55545
129	5265	55489
130	5304	55438
131	5344	55384
132	5383	55330
133	5428	55338
134	5470	55309
135	5514	55302
136	5554	55259
137	5597	55241
138	5638	55205
139	5679	55169
140	5723	55166
141	5769	55174
142	5817	55205
143	5865	55232
144	5911	55237
145	5955	55229
146	5999	55215
147	6042	55194
148	6086	55184
149	6130	55173
150	6174	55159
151	6215	55120
152	6255	55074
153	6296	55032
154	6340	55017
155	6382	54985
156	6418	54908
157	6458	54856
158	6499	54816
159	6540	54779
160	6582	54741
161	6623	54703
162	6661	54642
163	6702	54597
164	6743	54558
165	6785	54525
166	6824	54476
167	6864	54427
168	6907	54399
169	6950	54378
170	6990	54326
171	7029	54273
172	7070	54231
173	7109	54182
174	7150	54142
175	7189	54081
176	7227	54019
177	7266	53967
178	7308	53938
179	7351	53912
180	7394	53886
181	7438	53869
182	7483	53855
183	7522	53801
184	7562	53754
185	7602	53705
186	7640	53646
187	7680	53597
188	7718	53539
189	7756	53482
190	7765	53218
191	7803	53163
192	7841	53102
193	7880	53049
194	7919	52998
195	7958	52949
196	7998	52900
197	8040	52870
198	8079	52823
199	8123	52801
200	8166	52777
201	8207	52739
202	8251	52718
203	8289	52665
204	8329	52617
205	8370	52582
206	8414	52558
207	8457	52533
208	8496	52485
209	8537	52446
210	8581	52426
211	8622	52384
212	8662	52338
213	8700	52285
214	8739	52232
215	8778	52184
216	8822	52162
217	8865	52134
218	8904	52087
219	8945	52043
220	8984	51993
221	9024	51951
222	9064	51905
223	9104	51862
224	9143	51810
225	9182	51764
226	9219	51704
227	9259	51655
228	9298	51608
229	9338	51565
230	9380	51532
231	9423	51502
232	9467	51479
233	9506	51433
234	9544	51378
235	9585	51340
236	9624	51290
237	9663	51239
238	9703	51197
239	9742	51149
240	9780	51093
241	9818	51037
242	9857	50988
243	9896	50940
244	9935	50891
245	9974	50847
246	10013	50797
247	10052	50748
248	10090	50696
249	10129	50648
250	10168	50599
251	10207	50552
252	10248	50511
253	10288	50470
254	10329	50431
255	10374	50412
256	10415	50372
257	10453	50323
258	10493	50281
259	10532	50234
260	10572	50189
261	10611	50139
262	10649	50090
263	10688	50040
264	10728	49998
265	10768	49957
266	10807	49910
267	10847	49867
268	10889	49834
269	10932	49803
270	10972	49762
271	11011	49713
272	11050	49666
273	11091	49627
274	11131	49583
275	11169	49536
276	11209	49492
277	11247	49441
278	11288	49404
279	11327	49357
280	11367	49313
281	11406	49266
282	11444	49216
283	11485	49176
284	11527	49143
285	11570	49113
286	11611	49074
287	11652	49036
288	11691	48989
289	11730	48943
290	11770	48901
291	11809	48855
292	11848	48809
293	11887	48764
294	11930	48733
295	11973	48704
296	12013	48659
297	12051	48610
298	12091	48568
299	12133	48533
300	12175	48501
301	12217	48463
302	12257	48421
303	12300	48391
304	12340	48351
305	12382	48314
306	12420	48266
307	12458	48217
308	12500	48181
309	12538	48133
310	12577	48084
311	12615	48037
312	12653	47987
313	12693	47945
314	12735	47911
315	12778	47877
316	12814	47823
317	12854	47781
318	12893	47736
319	12932	47688
320	12971	47643
321	13009	47594
322	13050	47554
323	13091	47517
324	13132	47478
325	13176	47450
326	13218	47416
327	13257	47371
328	13298	47332
329	13337	47286
330	13376	47241
331	13414	47191
332	13452	47145
333	13493	47105
334	13531	47058
335	13569	47008
336	13606	46957
337	13646	46915
338	13683	46864
339	13720	46811
340	13757	46758
341	13793	46702
342	13830	46651
343	13868	46605
344	13907	46559
345	13945	46512
346	13983	46463
347	14020	46411
348	14057	46361
349	14094	46312
350	14131	46260
351	14169	46211
352	14206	46159
353	14245	46115
354	14284	46072
355	14322	46025
356	14360	45976
357	14398	45930
358	14436	45881
359	14474	45836
360	14513	45791
361	14550	45742
362	14589	45698
363	14627	45649
364	14665	45602
365	14702	45552
366	14739	45504
367	14776	45452
368	14813	45404
369	14850	45355
370	14889	45311
371	14930	45272
372	14968	45225
373	15006	45180
374	15043	45131
375	15081	45085
376	15118	45036
377	15156	44987
378	15193	44939
379	15232	44894
380	15269	44847
381	15308	44804
382	15346	44757
383	15385	44712
384	15422	44665
385	15461	44620
386	15498	44574
387	15538	44531
388	15576	44486
389	15614	44441
390	15651	44393
391	15689	44347
392	15725	44296
393	15763	44250
394	15800	44200
395	15838	44154
396	15874	44104
397	15912	44058
398	15949	44011
399	15988	43967
400	16024	43917
401	16061	43870
402	16101	43829
403	16140	43786
404	16179	43745
405	16217	43698
406	16254	43650
407	16292	43606
408	16331	43562
409	16369	43518
410	16406	43470
411	16444	43425
412	16481	43379
413	16520	43336
414	16557	43288
415	16595	43244
416	16632	43197
417	16671	43155
418	16711	43115
419	16750	43071
420	16787	43025
421	16824	42979
422	16861	42932
423	16899	42886
424	16935	42837
425	16974	42795
426	17012	42750
427	17049	42704
428	17087	42659
429	17123	42610
430	17161	42565
431	17198	42519
432	17237	42476
433	17277	42437
434	17315	42392
435	17353	42349
436	17393	42309
437	17431	42265
438	17468	42219
439	17507	42177
440	17544	42130
441	17582	42087
442	17619	42040
443	17658	41999
444	17695	41951
445	17732	41906
446	17770	41861
447	17807	41815
448	17845	41772
449	17882	41726
450	17919	41679
451	17956	41634
452	17995	41591
453	18032	41546
454	18069	41500
455	18107	41457
456	18145	41412
457	18184	41371
458	18221	41325
459	18259	41281
460	18296	41236
461	18333	41191
462	18371	41147
463	18408	41102
464	18447	41060
465	18487	41020
466	18524	40975
467	18561	40930
468	18598	40885
469	18636	40842
470	18675	40800
471	18713	40757
472	18751	40714
473	18790	40673
474	18828	40630
475	18868	40590
476	18906	40548
477	18945	40506
478	18982	40462
479	19021	40421
480	19060	40380
481	19099	40338
482	19138	40298
483	19177	40256
484	19217	40217
485	19255	40175
486	19295	40136
487	19334	40094
488	19374	40056
489	19412	40014
490	19452	39974
491	19491	39933
492	19533	39898
493	19575	39864
494	19614	39823
495	19653	39782
496	19693	39743
497	19745	39728
498	19784	39687
499	19826	39653
500	19868	39618
501	19909	39581
502	19949	39542
503	19987	39498
504	20024	39454
505	20064	39416
506	20105	39378
507	20143	39335
508	20183	39297
509	20225	39261
510	20269	39229
511	20313	39198
512	20353	39160
513	20393	39120
514	20435	39085
515	20477	39049
516	20518	39012
517	20559	38976
518	20598	38935
519	20638	38896
520	20677	38855
521	20720	38821
522	20759	38779
523	20801	38744
524	20843	38710
525	20884	38672
526	20923	38631
527	20962	38590
528	21001	38549
529	21043	38513
530	21086	38480
531	21129	38446
532	21168	38405
533	21208	38366
534	21246	38323
535	21286	38283
536	21325	38242
537	21365	38203
538	21409	38171
539	21452	38138
540	21491	38097
541	21530	38056
542	21571	38018
543	21612	37981
544	21650	37938
545	21689	37897
546	21729	37857
547	21768	37816
548	21806	37773
549	21845	37732
550	21888	37699
551	21933	37668
552	21972	37627
553	22012	37587
554	22055	37553
555	22096	37517
556	22137	37479
557	22176	37438
558	22214	37395
559	22253	37353
560	22291	37311
561	22330	37270
562	22370	37230
563	22413	37197
564	22456	37161
565	22497	37125
566	22538	37087
567	22577	37046
568	22616	37005
569	22656	36966
570	22700	36932
571	22743	36897
572	22787	36865
573	22830	36831
574	22869	36790
575	22908	36748
576	22946	36706
577	22985	36664
578	23024	36624
579	23065	36586
580	23103	36544
581	23145	36507
582	23185	36468
583	23226	36431
584	23269	36395
585	23308	36354
586	23347	36313
587	23387	36274
588	23426	36233
589	23466	36193
590	23516	36170
591	23556	36130
592	23598	36094
593	23640	36057
594	23680	36017
595	23719	35977
596	23757	35934
597	23796	35893
598	23836	35854
599	23878	35817
600	23921	35782
601	23960	35742
602	24000	35701
603	24038	35660
604	24080	35623
605	24118	35580
606	24155	35537
607	24196	35498
608	24239	35464
609	24280	35425
610	24320	35385
611	24359	35345
612	24401	35308
613	24445	35274
614	24487	35237
615	24528	35199
616	24567	35159
617	24613	35128
618	24657	35094
619	24699	35057
620	24737	35015
621	24778	34976
622	24819	34938
623	24862	34902
624	24901	34862
625	24941	34822
626	24980	34781
627	25019	34739
628	25057	34698
629	25102	34664
630	25141	34624
631	25180	34583
632	25223	34547
633	25266	34512
634	25305	34471
635	25347	34434
636	25391	34400
637	25435	34365
638	25478	34329
639	25517	34288
640	25556	34248
641	25595	34206
642	25637	34169
643	25681	34135
644	25721	34096
645	25759	34053
646	25798	34012
647	25835	33969
648	25874	33928
649	25915	33889
650	25955	33849
651	25994	33809
652	26035	33770
653	26079	33735
654	26119	33696
655	26157	33654
656	26195	33611
657	26237	33574
658	26277	33534
659	26319	33497
660	26359	33457
661	26404	33423
662	26446	33387
663	26488	33350
664	26527	33309
665	26566	33267
666	26607	33229
667	26646	33187
668	26685	33147
669	26723	33105
670	26762	33063
671	26801	33023
672	26840	32982
673	26879	32940
674	26918	32900
675	26958	32860
676	26997	32819
677	27037	32779
678	27076	32739
679	27118	32702
680	27161	32664
681	27201	32625
682	27244	32589
683	27286	32551
684	27325	32510
685	27363	32469
686	27407	32434
687	27450	32397
688	27492	32360
689	27532	32321
690	27576	32285
691	27617	32247
692	27658	32207
693	27699	32169
694	27736	32126
695	27776	32086
696	27816	32047
697	27856	32007
698	27900	31971
699	27943	31935
700	27985	31898
701	28024	31857
702	28064	31816
703	28103	31775
704	28142	31735
705	28182	31694
706	28223	31657
707	28263	31617
708	28303	31577
709	28344	31537
710	28386	31500
711	28426	31461
712	28465	31420
713	28505	31380
714	28547	31342
715	28590	31305
716	28631	31266
717	28674	31230
718	28713	31189
719	28754	31150
720	28802	31119
721	28843	31080
722	28882	31039
723	28921	30998
724	28961	30958
725	29004	30921
726	29045	30883
